Date,Open,Close
5/31/16,99.599998,99.860001
5/27/16,99.440002,100.349998
5/26/16,99.68,100.410004
5/25/16,98.669998,99.620003
5/24/16,97.220001,97.900002
5/23/16,95.870003,96.43
5/20/16,94.639999,95.220001
5/19/16,94.639999,94.199997
5/18/16,94.160004,94.559998
5/17/16,94.550003,93.489998
5/16/16,92.389999,93.879997
5/13/16,90,90.519997
5/12/16,92.720001,90.339996
5/11/16,93.480003,92.510002
5/10/16,93.330002,93.419998
5/9/16,93,92.790001
5/6/16,93.370003,92.720001
5/5/16,94,93.239998
5/4/16,95.199997,94.190002
5/3/16,94.199997,95.18
5/2/16,93.970001,93.639999
4/29/16,93.989998,93.739998
4/28/16,97.610001,94.830002
4/27/16,96,97.82
4/26/16,103.910004,104.349998
4/25/16,105,105.080002
4/22/16,105.010002,105.68
4/21/16,106.93,105.970001
4/20/16,106.639999,107.129997
4/19/16,107.879997,106.910004
4/18/16,108.889999,107.480003
4/15/16,112.110001,109.849998
4/14/16,111.620003,112.099998
4/13/16,110.800003,112.040001
4/12/16,109.339996,110.440002
4/11/16,108.970001,109.019997
4/8/16,108.910004,108.660004
4/7/16,109.949997,108.540001
4/6/16,110.230003,110.959999
4/5/16,109.510002,109.809998
4/4/16,110.419998,111.120003
